rank,cell_id,center_lat,center_lon,response_class,confidence,human_review_priority,first_visible_date,last_absent_date,observed_assets,temporal_change,evidence,image_quality,alignment_quality,uncertainty_reason,scene_ids,human_status,human_finding,human_notes
14,aoi12_r006_c015,10.59977064,-67.02554914,possible_response_signal,0.6,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large white temporary structure near central road | organized material staging area near red-roofed buildings | ambulance or emergency vehicle near central road | increased vehicle density on main roads,visible changes in vehicle distribution and presence of temporary structures compared to pre-event image,"Post-event images show increased activity including a large white temporary structure, organized material staging, and more vehicles consistent with response operations. These are not visible in the pre-event reference mosaic. The cloud-covered image on July 5 prevents confirmation of persistence.",good,good,Cloud cover in the final image obscures the scene; sensor differences and resolution variations between images limit definitive assessment of all changes.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
15,aoi12_r006_c035,10.59977064,-66.93571761,possible_response_signal,0.6,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large organized gathering of vehicles near port area | temporary structures or shelters near residential zone | road clearance activity along access road | organized material staging in open area,visible changes in vehicle distribution and potential site organization post-event,"Post-event images (June 26 and June 29) show increased vehicle concentration, organized staging areas, and possible temporary structures not visible in the pre-event image. The July 5 image is obscured by cloud cover, preventing assessment of persistence.",good,good,Disagreement between June 29 and June 26 scenes due to cloud cover and sensor differences; limited visibility in final image prevents confirmation of response continuity.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
16,aoi12_r007_c019,10.60418555,-67.00758283,possible_response_signal,0.6,high,2026-06-26T15:10:00Z,,"small white vehicle on runway in image from June 27, 2026 | temporary staging of equipment and vehicles near tree line in image from June 26, 2026","presence of temporary staging and a small white vehicle on the runway after June 24, 2026 earthquake","In the pre-event image (2025-11-03), no response assets are visible. In the June 26 image, there is clear evidence of temporary staging with vehicles and equipment near the tree line, consistent with emergency response activities. A small white vehicle is also visible on the runway in the June 27 image. The July 5 image is too degraded for analysis. The observed changes are not consistent with normal operations or permanent infrastructure.",good,good,"The images differ in sensor type, resolution, and viewing angle, making direct comparison challenging. The June 27 image shows a single vehicle that could be part of routine operations. Cloud cover and image quality in the final image prevent confirmation of persistence.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
17,aoi12_r008_c060,10.60860038,-66.8234282,possible_response_signal,0.6,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,newly exposed earth and erosion patterns on hillside | multiple winding tracks or paths cut through vegetation on hillside | possible small vehicle or equipment near top of hillside in June 29 image (uncertain due to resolution and vegetation),"significant land cover change on hillside between pre-event and post-event images; vegetation removed, soil exposed, new tracks visible","pre-event image shows dense vegetation on hillside; post-event images (June 26 and 29) show extensive clearing, exposed soil, and new tracks, suggesting ground disturbance consistent with emergency response or landslide mitigation activity. No clear response vehicles or structures are visible, but the scale of change is consistent with organized activity. June 29 images show slight variation in cloud cover and shadowing, but overall change is consistent across scenes.",moderate,good,"low resolution and vegetation cover obscure definitive identification of response assets; change could be due to natural landslide or pre-existing but undocumented activity; June 29 images show minor differences in coverage and cloud, but overall pattern is consistent. No definitive response vehicles or structures are visible.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
18,aoi12_r010_c056,10.61742986,-66.8413945,possible_response_signal,0.6,high,2026-06-26T15:10:00Z,,large-scale debris and structural damage in industrial area adjacent to marina | visible disruption and possible excavation activity on land near the harbor entrance,"significant change between pre-event (2025-11-03) and post-event (2026-06-26) images, including widespread destruction in the eastern part of the grid cell","The pre-event image shows a normal port and industrial area with no signs of emergency response. In the June 26 image, extensive structural collapse and debris are visible in the upper-right portion of the frame, consistent with earthquake damage. The same area appears relatively unchanged in the two June 29 images, but with persistent damage. No clear response assets such as vehicles, tents, or organized staging are visible in any image. The July 5 image is blank/white and cannot be used for analysis. While there is evidence of damage, there is no direct visual confirmation of response assets like cranes, trucks, or shelters.",good,good,Disagreement between the two June 29 images due to cloud cover and sensor differences; lack of visible response assets despite clear damage; inability to confirm presence of response equipment; final image is unusable.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
19,aoi12_r003_c007,10.58652556,-67.06148175,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large blue temporary tent structures visible in post-event images | organized material staging area near central road,presence of large blue temporary tents and organized material staging appears after pre-event image,"Blue temporary tent structures and organized material staging are not present in the pre-event mosaic but appear in the June 26 and July 5 images, indicating potential emergency response activity. The structures are consistent with shelter or logistics use. No other response assets such as vehicles or heavy machinery are clearly visible.",good,good,Limited resolution and sensor differences between images make definitive attribution difficult; no ground-truth confirmation available; some features may be ambiguous.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | COPERNICUS_GEOEYE1_20260705,pending,,
20,aoi12_r003_c010,10.58652556,-67.04800702,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small temporary white tents near stadium entrance | group of vehicles and personnel on football field | organized material staging near stadium perimeter,"presence of temporary structures, vehicle clusters, and activity on the football field in post-event images not seen in pre-event","Post-event image (2026-06-26) shows temporary white tents, a group of vehicles and personnel on the football field, and organized material staging near the stadium—consistent with emergency response activities. These are absent in the pre-event mosaic. The July 5 image confirms persistence but does not establish first arrival. No other assets indicate non-response use.",good,good,Slight cloud cover in the July 5 image; limited resolution prevents definitive identification of individual equipment types.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | COPERNICUS_GEOEYE1_20260705,pending,,
21,aoi12_r004_c008,10.59094065,-67.05699017,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large organized cargo container staging in industrial area | temporary white tent structure near road junction | increased number of parked vehicles in industrial zone,significant increase in container and vehicle density in industrial area post-event,"In the pre-event image (2025-11-03/2026-03-21/2026-04-07), the industrial area shows no significant container or temporary structures. In the June 26 image, a large concentration of shipping containers and a temporary white tent are visible. The July 5 image confirms persistence of these assets. No response-specific vehicles like ambulances, cranes, or fire trucks are visible.",good,good,Slight misalignment between images; some features may be due to normal logistics activity rather than emergency response. Cloud cover not present but resolution differences between sensors affect confidence.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | COPERNICUS_GEOEYE1_20260705,pending,,
22,aoi12_r004_c011,10.59094065,-67.04351544,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,temporary structures or tents near red-roofed buildings | organized material staging area adjacent to main complex | additional vehicles or equipment in parking areas not present in pre-event image,visible changes in ground use and potential temporary infrastructure post-2026-06-26,"Comparison between the pre-event mosaic (2025-11-03/2026-03-21/2026-04-07) and the post-event image from 2026-06-26 shows new temporary structures and organized material staging, suggesting possible response activity. The July 5 image confirms persistence but does not establish first arrival. No clear response assets are visible in the pre-event image.",good,good,Limited temporal resolution and potential sensor differences; no definitive confirmation of emergency response vehicles or personnel; some features could be related to routine operations.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | COPERNICUS_GEOEYE1_20260705,pending,,
23,aoi12_r004_c038,10.59094065,-66.92224288,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small white vehicles near cleared area | temporary structures or tents in cleared area | potential road clearing activity,increase in visible assets and land disturbance between pre-event and post-event images,"In the pre-event image (2025-11-03/2026-03-21/2026-04-07), the area shows natural terrain with minimal disturbance. In the June 26 image, a cleared patch appears with several small white vehicles and what may be temporary shelters or tents. The June 29 image confirms similar features, though partial cloud cover limits visibility. The July 5 image is largely unusable due to severe data loss (blanked area). No permanent infrastructure or industrial equipment is evident in any image. The observed changes are consistent with initial response activities.",good,good,Disagreement between June 26 and June 29 images due to cloud coverage and sensor differences; limited visibility in June 29 image prevents definitive confirmation of persistence; July 5 image has significant data loss.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
24,aoi12_r006_c011,10.59977064,-67.04351544,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,small boats and vessels clustered in the marina area | temporary structures or shelters near the waterfront | organized material staging or debris clearing on the beach | roadside activity consistent with emergency vehicle movement,visible changes in marina use and beach area since pre-event mosaic,"Post-event image (2026-06-26) shows increased vessel presence, organized activity near the harbor, and possible temporary shelters not evident in the pre-event mosaic. No large response vehicles or heavy machinery are clearly visible. Changes are suggestive of a response effort but lack definitive indicators such as excavators, ambulances, or large convoys. The July 5 image shows persistence of some activity but cannot confirm first-72-hour arrival.",good,good,Limited resolution and sensor differences between images; no clear evidence of large-scale response assets; some features could be pre-existing or non-response related.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | COPERNICUS_GEOEYE1_20260705,pending,,
25,aoi12_r006_c014,10.59977064,-67.03004071,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large temporary white tent structures near central open area in image 2 and 3 | organized material staging on paved surface in central area in image 2 and 3 | small vehicles clustered near temporary tents in image 2 and 3 | visible change in ground use in central open area between pre-event and post-event images,"presence of temporary tents, organized staging, and vehicle clusters appears after the pre-event reference, consistent with response activity.","In the pre-event image (2025-11-03/2026-03-21/2026-04-07), the central open area is bare or used for non-response purposes. In the June 26 image, large temporary white tents, organized material piles, and clustered vehicles are visible in this same area. The June 27 image confirms these features persist. The July 5 image shows a similar scene but is partially obscured by cloud; however, the persistence from June 26 to June 27 supports ongoing activity. No response assets are visible in the pre-event image. The changes are not attributable to permanent infrastructure. While the imagery quality is sufficient to identify these features, the lack of definitive emergency vehicles or heavy machinery prevents a higher confidence classification.",good,good,"The observed changes (tents, staging, vehicles) are consistent with response activities but do not constitute unambiguous evidence of emergency response equipment such as cranes, ambulances, or large-scale clearing operations. Cloud cover in the final image limits confirmation of persistence beyond June 27. Alignment between sensors is good but not perfect, and some features may be artifacts of different resolutions or viewing angles.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
26,aoi12_r006_c020,10.59977064,-67.00309125,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,,small vehicles near aircraft at gates | ground support equipment at aircraft stands | increased activity around terminal area,minor increase in ground vehicle presence and aircraft operations compared to pre-event,"In the June 26 image, there is a visible increase in ground vehicles and operational activity around aircraft at the gates compared to the pre-event image. The aircraft positions are consistent with normal airport operations, but the number of service vehicles and personnel near the planes suggests an active response environment. No large emergency response assets such as cranes, temporary shelters, or organized material staging are visible. The July 5 image is obscured by cloud cover, preventing assessment.",good,good,Cloud cover in the final image prevents confirmation of persistence; minor changes may be within normal operational variation.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
27,aoi12_r006_c021,10.59977064,-66.99859968,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,,small temporary structures near central building | additional vehicles near central compound | new material staging area adjacent to runway | organized vehicle movement near access road,increased activity and organization in the central compound and adjacent areas post-event compared to pre-event image,"In the June 26 image, there is visible evidence of organized activity including small temporary structures, additional vehicles, and material staging that were not present in the pre-event mosaic (2025-11-03/2026-03-21/2026-04-07). These elements suggest a response presence. The June 27 image shows continued activity with similar assets. The July 5 image is obscured by clouds, preventing reliable assessment. No response signal visible in usable pixels",good,good,Cloud cover in the final image prevents confirmation of persistence; slight differences in sensor resolution and viewing angle between images introduce alignment uncertainty.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
28,aoi12_r006_c022,10.59977064,-66.9941081,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large military transport aircraft parked on tarmac | additional aircraft visible near terminal area,presence of large military transport aircraft in post-event images not seen in pre-event reference,"Post-event image from June 26 shows a large military transport aircraft on the tarmac, which is not present in the pre-event mosaic. The aircraft remains visible in the June 27 image. The July 5 image is heavily obscured by cloud cover, preventing confirmation of persistence. No other response assets such as vehicles, tents, or equipment are clearly visible.",good,good,Image quality and sensor differences limit definitive assessment; cloud cover in final image prevents confirmation of ongoing activity.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
29,aoi12_r006_c024,10.59977064,-66.98512495,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large aircraft parked on tarmac | smaller aircraft parked near terminal area | temporary structures or tents near hangars | organized material staging areas near buildings,some aircraft have been repositioned; new temporary structures appear,"The pre-event image shows an airport with multiple aircraft and no visible temporary structures. In the post-event images, particularly on June 26, a black military-style helicopter is visible on the tarmac, and additional temporary structures are present near the terminal area, suggesting response activity. However, the changes are not definitive due to potential ambiguity in asset type and lack of clear emergency vehicles.",good,good,"Limited resolution and sensor differences make it difficult to confirm the presence of specific response assets like ambulances or cranes. The same-day images (June 26 and 27) show some change, but the evidence is not conclusive. The July 5 image confirms persistence but cannot establish first arrival.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
30,aoi12_r007_c014,10.60418555,-67.03004071,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"large-scale rubble and debris in streets and yards | collapsed buildings with exposed structural frames | visible damage to multiple rooftops (missing tiles, collapsed sections) | scattered construction materials and demolition waste | localized road blockages from collapsed structures",significant structural damage and widespread debris present post-event compared to pre-event image,"The pre-event image shows intact buildings and normal street conditions. The June 26 image reveals extensive structural damage and debris consistent with earthquake impact. No response vehicles or temporary shelters are visible. The damage is persistent through June 27 and July 5 images, but no emergency assets such as cranes, tents, or organized material staging are evident. Cloud cover in the July 5 image limits visibility but does not obscure the damage pattern.",good,good,"No clear evidence of response assets (e.g., trucks, tents, heavy machinery) despite visible destruction. The lack of visible response activity could be due to delayed deployment, sensor limitations, or operational secrecy. Clouds in the final image reduce confidence in absence of response.",VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
