rank,cell_id,center_lat,center_lon,response_class,confidence,human_review_priority,first_visible_date,last_absent_date,observed_assets,temporal_change,evidence,image_quality,alignment_quality,uncertainty_reason,secondary_response_class,secondary_confidence,secondary_observed_assets,scene_ids,human_status,human_finding,human_notes
11,aoi12_r012_c028,10.60087438,-67.02891782,possible_response_signal,0.65,high,2026-07-05T15:05:00Z,2026-06-27T13:48:10Z,Large white smoke plume covering right side of image | Red cross symbol on building roof in pre-event and post-event images,Appearance of large smoke plume in July 5 image not present in earlier images,"The red cross symbol indicates a medical facility, which may be involved in response. The large smoke plume in the July 5 image is a significant change not seen in earlier images and could indicate fire or structural collapse requiring emergency response. However, no other clear response assets (vehicles, tents, personnel) are visible. The absence of such assets in earlier images does not rule out response activity due to cloud cover or sensor limitations.",good,good,Image quality and sensor differences limit definitive assessment; smoke plume presence suggests possible incident but lacks confirmation of response assets; potential for misinterpretation due to compression artifacts and atmospheric effects.,likely_response_signal,0.9,organized material staging area with multiple tents | large organized gathering compatible with a shelter or collection point,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
12,aoi12_r012_c042,10.60087438,-66.99747678,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"Multiple green-roofed buildings with vehicles parked in front, including what appear to be emergency or utility trucks. | An airplane on a runway/taxiway in the lower right of the image. | A temporary structure or tent-like object near the central building complex.",Increase in number and variety of vehicles at the site between pre-event and post-event images; presence of an airplane on the ground.,"The pre-event image shows a relatively static site with minimal vehicle activity. The June 26 image reveals multiple vehicles, some with bright colors (yellow/green) suggestive of response or utility vehicles, clustered around the main buildings. A large airplane is visible on the runway in the June 27 image, indicating potential airlift or transport operations. These changes are consistent with an emergent response effort. The July 5 image is obscured by cloud cover and cannot be used for definitive assessment. No clear evidence of permanent industrial equipment or structures has been added that would suggest non-response use.",good,good,"The June 27 image shows an airplane, which may indicate response-related logistics, but the asset is not present in the June 26 image. The July 5 image is heavily obscured by clouds, preventing assessment of persistence or further activity. While the June 26 image shows increased vehicle presence, it is difficult to definitively classify all vehicles as response assets without ground truth. The alignment quality is good, but differences in sensor resolution and viewing angle between images introduce uncertainty.",likely_response_signal,0.8,large organized gathering near the building | temporary structures or tents set up around the main building,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
13,aoi12_r012_c066,10.60087438,-66.94357787,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large military ship docked at pier | smaller support vessels near pier | organized staging of materials on pier,presence of large military vessel and support craft not visible in pre-event image,"A large military ship is visible in the June 26 and June 29 images, docked alongside a pier. This asset is absent in the pre-event mosaic (2025-11-03/2026-03-21/2026-04-07). The ship's features (flight deck markings, superstructure) are consistent with a naval support or amphibious assault vessel. Small boats and material staging are also present on the pier, suggesting active operations. The July 5 image is obscured by cloud cover, preventing assessment of persistence. The sensor differences between images (Legion vs. Vantor/LG04) are significant, but alignment quality supports comparability.",good,good,"The June 29 image shows the same assets as June 26, but due to differing sensor resolution and viewing angle, direct comparison is limited. The July 5 image is heavily obscured by clouds, making it impossible to confirm whether the response assets persisted. While the presence of a military vessel strongly suggests a response, its exact role cannot be confirmed from imagery alone.",likely_response_signal,0.8,large military-style ship docked at pier | organized material staging near the ship,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
14,aoi12_r013_c028,10.60308183,-67.02891782,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"large debris piles and collapsed structures in central area | scattered vehicles on roads, some appearing to be emergency or utility types | visible road clearance activity near intersections",significant structural damage and debris visible post-event compared to pre-event image,"Post-event images (June 26 and June 27) show widespread destruction with rubble and collapsed buildings not present in the pre-event image. There is evidence of ongoing activity including cleared roads and scattered vehicles consistent with initial response operations. The July 5 image is heavily obscured by cloud cover, preventing assessment of continuity.",good,good,Cloud cover in the final image (July 5) prevents confirmation of persistence; alignment between sensors may be imperfect due to different view angles and resolutions.,possible_response_signal,0.6,Possible organized gathering near the center of the grid cell on 2026-06-27 | Potential temporary structures or material staging areas adjacent to the central gathering,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
15,aoi12_r013_c083,10.60308183,-66.90539947,possible_response_signal,0.65,high,2026-06-29T14:09:55Z,2026-06-26T15:10:00Z,temporary tents and shelters in baseball field area | organized material staging on grassy infield | increased vehicle concentration near stadium entrance,significant change from June 26 to June 29,"The June 26 image shows a baseball field with no temporary structures or organized activity. The June 29 image shows the same area with numerous white and colored tents, organized material piles, and increased vehicle presence consistent with emergency response staging. The July 5 image is unusable due to poor quality and lack of detail.",good,good,Image 3 (July 5) is of insufficient quality for reliable assessment; sensor differences between images may affect detectability.,likely_response_signal,0.9,organized temporary tents or structures | large organized gathering compatible with a shelter or collection point,COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
16,aoi12_r014_c031,10.60528926,-67.02218045,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large debris piles and collapsed structures in central and eastern blocks | organized groups of people near intersections and open areas | temporary material staging on roadsides | visible road clearance activity with cleared paths and vehicles moving along main roads,significant structural damage and disarray post-event compared to pre-event condition,"Post-event images (2026-06-26 and 2026-06-27) show widespread destruction, including collapsed buildings and rubble, consistent with earthquake impact. There is visible evidence of organized response activities such as large debris piles, temporary material staging, and groups of people in open areas suggestive of collection or shelter points. No such signs are present in the pre-event image. The July 5 image shows continued presence of damaged infrastructure but lacks clear new response assets. The change from a stable residential layout to one marked by destruction and activity indicates a likely emergency response.",good,good,"The images differ in sensor type, resolution, and viewing angle, which affects direct comparison. Cloud cover in some scenes may obscure details. While the damage is evident, the distinction between immediate response and ongoing recovery efforts cannot be definitively established without ground truth.",possible_response_signal,0.6,large organized gatherings near the bottom right corner | possible temporary structures or tents scattered across the area,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
17,aoi12_r015_c029,10.60749668,-67.02667203,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large organized gathering of people and vehicles near central road intersection | temporary tents or shelters visible in open area adjacent to housing blocks | increased presence of small vehicles and possible emergency response units around central area | evidence of site organization including staging areas and road access control,significant change in activity level and use of open spaces post-event,"Pre-event image shows no large gatherings or temporary structures; post-event images show clear signs of organized activity, including crowds, tents, and vehicle clustering consistent with emergency response operations.",good,good,Cloud cover in the final image (July 5) obscures visibility; slight differences in sensor resolution and viewing angle between images may affect confidence.,possible_response_signal,0.6,large organized gathering near the center of the image | several vehicles clustered together near the gathering,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
18,aoi12_r015_c031,10.60749668,-67.02218045,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large-scale rubble and collapsed structures in multiple blocks | organized material staging with piles of debris and construction materials | temporary tents or shelters near the southeast corner | concentrated gatherings of people around damaged areas | emergency vehicles including ambulances and trucks near central roads,significant structural damage and presence of response activity compared to pre-event image,"Post-event images show widespread building collapse and organized debris management, consistent with a disaster response. Visible assets include temporary shelters, emergency vehicles, and large crowds, indicating active recovery operations. The pre-event image shows no such features. The July 5 image confirms persistence but not initial arrival.",good,good,"The June 27 image has lower resolution and potential cloud cover; alignment between sensors is good but not perfect, and some features may be obscured by debris or shadows.",likely_response_signal,0.8,large organized gatherings compatible with a shelter or collection point | organized material staging areas,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
19,aoi12_r015_c034,10.60749668,-67.01544309,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large temporary gathering of people and vehicles on the orange field | organized material staging near central road intersections | multiple white trucks and vans parked along roads | temporary structures or tents near lower-left edge,visible increase in activity and vehicle presence post-event,"In the pre-event image, the large open field is empty with no visible activity. In the June 26 image, the same field shows a significant number of people and vehicles, including what appear to be emergency response units. There is also organized material staging and multiple white trucks along roads. The June 27 image confirms continued activity, while the July 5 image is obscured by cloud cover and cannot be used for definitive assessment.",good,good,"The July 5 image is heavily clouded, preventing assessment of persistence. While the June 26 and 27 images show signs consistent with response, the exact nature of some assets (e.g., whether they are military or civilian) is uncertain due to resolution limits.",likely_response_signal,0.8,organized material staging area with white canopies | large organized gathering in open space | increased vehicle presence near staging area,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
20,aoi12_r016_c035,10.60970408,-67.0131973,possible_response_signal,0.65,high,2026-06-27T13:48:10Z,2025-11-03/2026-03-21/2026-04-07,large-scale rubble and collapsed structures indicating severe damage | excavators or heavy machinery visible in debris field on June 27 | organized material staging areas near damaged buildings | temporary tents or shelters in lower-right quadrant on June 27,"significant structural collapse and debris accumulation between pre-event (Nov 2025–Apr 2026) and post-event (June 26–27, 2026)","Pre-event image shows intact urban fabric with no signs of disaster; June 26 image shows widespread destruction but limited response assets; June 27 image reveals clear evidence of emergency response activity including heavy machinery and temporary shelters, which are not present in the pre-event image. The July 5 image is too degraded to confirm persistence.",good,good,"July 5 image has poor quality due to haze/overexposure, limiting confidence in absence/persistence; alignment between sensors varies slightly, though core area matches well.",likely_response_signal,0.8,large organized gathering near the center of the grid cell | temporary tents or structures set up in open spaces,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
21,aoi12_r016_c111,10.60970408,-66.8425174,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large excavation site with exposed earth and foundation trenches | excavator/earthmoving equipment within the excavation area | temporary material staging around the construction zone | organized activity consistent with heavy machinery operations,"significant change from pre-event to post-event images: a large excavation and construction-like activity appears on June 26, persisting through June 29.","A large excavation site with visible earth-moving equipment is present in the June 26 image but absent in the pre-event mosaic (November 2025–April 2026). The same activity persists in the June 29 images, though sensor differences between LG04 and Legion cause slight discrepancies in coverage and clarity. No response assets are visible in the July 5 image; it shows no new evidence of activity beyond what was already established. The observed changes are consistent with emergency infrastructure or debris clearance work, not normal development. The scene contains no tents, vehicles, or organized crowds typical of shelter or collection points.",good,good,Discrepancy between the two June 29 images due to different sensors (LG04) and viewing angles; limited visibility in the July 5 image makes persistence assessment difficult. Cloud cover or resolution may affect confidence in asset detection.,likely_response_signal,0.8,excavators or loaders visible near construction area | organized material staging around construction site,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
22,aoi12_r019_c112,10.61632619,-66.84027161,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"large debris field and collapsed structure in lower right | small white vehicle near road center, possibly emergency or support | temporary orange-colored object (possibly tent or tarp) near debris pile | concentration of vehicles on road, including potential emergency units",significant structural damage and debris accumulation post-event; increased vehicle presence,"Post-event images show extensive destruction and rubble not present in the pre-event mosaic. The June 26 image shows a dense cluster of vehicles on the road adjacent to the damaged area, with at least one small white vehicle consistent with an ambulance or utility vehicle. A temporary orange structure appears near the debris. The subsequent June 29 images confirm the persistence of the damage and the presence of vehicles, though sensor differences make direct comparison uncertain. No response assets are visible in the pre-event image.",good,good,"The two June 29 images show slight discrepancies in coverage and resolution, making definitive asset attribution challenging. The July 5 image confirms persistent conditions but cannot establish first-arrival timing.",possible_response_signal,0.6,Possible organized gathering near the bottom right corner of the scene in the post-event images.,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
23,aoi12_r020_c110,10.61853353,-66.84476319,possible_response_signal,0.65,high,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large-scale rubble and debris in the waterfront area | excavator/loader visible at the site of destruction | temporary staging of materials on the ground | organized material piles along the road,"significant structural damage and debris appear post-event, with machinery present in the affected zone","The pre-event image shows an intact built environment with no visible construction or response activity. The June 26 image reveals extensive rubble and collapsed structures along the waterfront, accompanied by heavy machinery consistent with emergency clearance operations. The June 29 images confirm continued activity with additional equipment and organized material staging. No response assets are visible in the July 5 image, but this does not negate earlier observations. Cloud cover or sensor differences do not prevent identification of key changes.",good,good,"Minor alignment discrepancies between sensors; slight differences in view angle and resolution between June 29 images could affect confidence, though core evidence remains consistent.",likely_response_signal,0.8,large organized gathering near the center of the grid cell | temporary tents or structures set up near the gathering area,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B140001100B5C810_20260629 | VANTOR_B140001100B5C710_20260629 | COPERNICUS_GEOEYE1_20260705,pending,,
24,aoi12_r006_c021,10.58762934,-67.04463834,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,temporary flat-roofed structure on cleared ground | small white rectangular objects resembling tents or shelters | concentrated activity near central clearing | possible vehicle or equipment presence in cleared area,increased human activity and temporary structures visible post-event compared to pre-event image,"In the pre-event image (2025-11-03/2026-03-21/2026-04-07), the site shows natural terrain with dirt roads and no clear signs of organized activity. In the June 26 image, a cleared area appears with what resembles temporary shelter-like structures and possible vehicles, consistent with emergency response staging. The July 5 image confirms persistence of these features. No large-scale construction or heavy machinery is visible, but the presence of temporary structures and concentrated use indicates potential response activity.",good,good,Slight differences in sensor resolution and viewing angle between images make definitive identification challenging; absence of high-resolution imagery from the immediate aftermath limits confidence in early detection.,likely_response_signal,0.85,excavators | loaders | trucks | temporary structures | organized material staging,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | COPERNICUS_GEOEYE1_20260705,pending,,
25,aoi12_r007_c022,10.58983689,-67.04239255,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,"large temporary white tent structures near central compound | organized material staging area with stacked items in lower-left | additional vehicles and equipment in lower-left yard, possibly emergency or logistics",increase in temporary structures and organized activity post-event,Post-event image (2026-06-26) shows new white tents and a more organized staging area not visible in pre-event image. These features are consistent with response operations. The July 5 image confirms persistence but does not establish first arrival. No definitive construction equipment or large-scale road-clearance activity is visible.,good,good,Image resolution and sensor differences limit confidence; some observed changes could be pre-existing site activities; no clear evidence of emergency vehicles or personnel.,likely_response_signal,0.85,excavators | loaders | trucks | temporary structures | organized material staging,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | COPERNICUS_GEOEYE1_20260705,pending,,
26,aoi12_r011_c035,10.59866691,-67.0131973,possible_response_signal,0.65,medium,2026-06-26T15:10:00Z,2025-11-03/2026-03-21/2026-04-07,large aircraft on tarmac at airfield | red emergency vehicle near buildings | mobile crane or heavy equipment near industrial area,presence of large aircraft and emergency vehicle not visible in pre-event image,"In the post-event images from June 26 and June 27, a large aircraft is visible on the airfield, which was not present in the pre-event mosaic. Additionally, a red emergency vehicle and what appears to be a mobile crane are visible near the industrial complex, suggesting possible response activity. The July 5 image shows no new assets but confirms persistence of some elements. No definitive evidence of road clearing, temporary shelters, or organized material staging is visible.",good,good,Limited resolution and sensor differences make definitive identification of smaller response assets difficult; cloud cover in some scenes may obscure details.,possible_response_signal,0.6,possible presence of excavators or loaders near the green-roofed building,VANTOR_PRE_EVENT_MOSAIC | COPERNICUS_LEGION_20260626 | VANTOR_B15000110186C610_20260627 | COPERNICUS_GEOEYE1_20260705,pending,,
